Node Number =  7
Cell Number =  6
 1      6      7      1      1
 2      7      2      1      1
 3      3      2      7      1
 4      3      7      4      1
 5      5      4      7      1
 6      6      5      7      1
 1 2.62300000e+004 6.86500000e+004 100.0
 2 3.91600000e+004 6.87700000e+004 100.0
 3 4.46900000e+004 5.81100000e+004 100.0
 4 3.91600000e+004 4.81000000e+004 100.0
 5 2.65300000e+004 4.79800000e+004 100.0
 6 2.08200000e+004 5.80600000e+004 100.0
 7 3.28100000e+004 5.81100000e+004 100.0
