Node Number =    6212
             0.00000         14000.00000            15.52000
           200.00000         14000.00000            15.52000
           400.00000         14000.00000            15.52000
           600.00000         14000.00000            15.52000
           800.00000         14000.00000            15.52000
          1000.00000         14000.00000            15.52000
          1200.00000         14000.00000            15.52000
          1400.00000         14000.00000            15.52000
          1600.00000         14000.00000            15.52000
          1800.00000         14000.00000            15.52000
          2000.00000         14000.00000            15.52000
          2200.00000         14000.00000            15.52000
          2400.00000         14000.00000            15.52000
          2600.00000         14000.00000            15.52000
          2800.00000         14000.00000            15.52000
          3000.00000         14000.00000            15.52000
          3200.00000         14000.00000            15.52000
          3400.00000         14000.00000            15.52000
          3600.00000         14000.00000            15.52000
          3800.00000         14000.00000            15.52000
          4000.00000         14000.00000            15.52000
          4200.00000         14000.00000            15.52000
          4400.00000         14000.00000            15.52000
          4600.00000         14000.00000            15.52000
          4800.00000         14000.00000            15.52000
          5000.00000         14000.00000            15.52000
          5200.00000         14000.00000            15.52000
          5400.00000         14000.00000            15.52000
          5600.00000         14000.00000            15.52000
          5800.00000         14000.00000            15.52000
          6000.00000         14000.00000            15.52000
          6200.00000         14000.00000            15.52000
          6400.00000         14000.00000            15.52000
          6600.00000         14000.00000            15.52000
          6800.00000         14000.00000            15.52000
          7000.00000         14000.00000            15.52000
          7200.00000         14000.00000            15.52000
          7400.00000         14000.00000            15.52000
          7600.00000         14000.00000            15.52000
          7800.00000         14000.00000            15.52000
          8000.00000         14000.00000            15.52000
          8200.00000         14000.00000            15.52000
          8400.00000         14000.00000            15.52000
          8600.00000         14000.00000            15.52000
          8800.00000         14000.00000            15.52000
          9000.00000         14000.00000            15.52000
          9200.00000         14000.00000            15.52000
          9400.00000         14000.00000            15.52000
          9600.00000         14000.00000            15.52000
          9800.00000         14000.00000            15.52000
         10000.00000         14000.00000            15.52000
         10200.00000         14000.00000            15.52000
         10400.00000         14000.00000            15.52000
         10600.00000         14000.00000            15.52000
         10800.00000         14000.00000            15.52000
         11000.00000         14000.00000            15.52000
         11200.00000         14000.00000            15.52000
         11400.00000         14000.00000            15.52000
         11600.00000         14000.00000            15.52000
         11800.00000         14000.00000            15.52000
         12000.00000         14000.00000            15.52000
         12200.00000         14000.00000            15.52000
         12400.00000         14000.00000            15.52000
         12600.00000         14000.00000            15.52000
         12800.00000         14000.00000            15.52000
         13000.00000         14000.00000            15.52000
         13200.00000         14000.00000            15.52000
         13400.00000         14000.00000            15.52000
         13600.00000         14000.00000            15.52000
         13800.00000         14000.00000            15.52000
         14000.00000         14000.00000            15.52000
         14200.00000         14000.00000            15.52000
         14400.00000         14000.00000            15.52000
         14600.00000         14000.00000            15.52000
         14800.00000         14000.00000            15.52000
         15000.00000         14000.00000            15.52000
         15200.00000         14000.00000            15.52000
           158.95749         13842.07520            15.21171
             0.00000         13800.00000            15.20000
           352.68207         13793.45898            15.18757
           558.15149         13826.15723            15.22010
           760.80969         13827.03809            15.22003
           961.17218         13826.65918            15.22188
          1161.22107         13826.81641            15.22017
          1361.14453         13826.79492            15.22007
          1561.10498         13826.80469            15.22018
          1761.06055         13826.80859            15.22019
          1961.01489         13826.80859            15.24123
          2160.97046         13826.80859            15.20842
          2360.92651         13826.80859            15.22013
          2560.88550         13826.80469            15.22023
          2760.82788         13826.83105            15.22027
          2960.78320         13826.63965            15.24117
          3158.28931         13829.83984            15.21129
          3361.62109         13830.28320            15.22355
          3560.56689         13826.86914            15.22037
          3760.60596         13826.94238            15.21673
          3960.57959         13826.91797            15.22041
          4160.50830         13826.81543            15.21999
          4360.47363         13826.81250            15.22024
          4560.42627         13826.80859            15.21989
          4760.38135         13826.80859            15.22218
          4960.33594         13826.80859            15.22035
          5160.29102         13826.80859            15.22028
          5360.24561         13826.80859            15.22037
          5560.20020         13826.80859            15.22038
          5760.15527         13826.80859            15.24152
          5960.10986         13826.80859            15.20850
          6160.06445         13826.80859            15.22033
          6360.01953         13826.80859            15.22042
          6559.97412         13826.80859            15.22043
          6759.92871         13826.80859            15.24159
          6959.88379         13826.80859            15.20852
          7159.83838         13826.80859            15.22038
          7359.79297         13826.80859            15.22047
          7559.74805         13826.80859            15.22048
          7759.70264         13826.80859            15.22049
          7959.65723         13826.80859            15.22017
          8159.61230         13826.80859            15.22043
          8359.56738         13826.80859            15.22007
          8559.52148         13826.80859            15.22234
          8759.47656         13826.80859            15.22054
          8959.43164         13826.80859            15.22047
          9159.38574         13826.80859            15.22056
          9359.34082         13826.80859            15.22057
          9559.29590         13826.80859            15.24180
          9759.25000         13826.80859            15.20858
          9959.20508         13826.80859            15.22052
         10159.16016         13826.80859            15.22061
         10359.11426         13826.80859            15.22062
         10559.06934         13826.80859            15.24188
         10759.02441         13826.80859            15.20861
         10958.97852         13826.80859            15.22057
         11158.93359         13826.80859            15.22066
         11358.88867         13826.80859            15.22067
         11558.84277         13826.80859            15.24195
         11758.79785         13826.80859            15.20863
         11958.75293         13826.80859            15.22062
         12158.70703         13826.80859            15.22071
         12358.66211         13826.80859            15.22072
